,0
0,Alabama
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Georgia
6,Idaho
7,Illinois
8,Indiana
9,Iowa
10,Kansas
11,Kentucky
12,Louisiana
13,Maine
14,Maryland
15,Massachusetts
16,Minnesota
17,Missouri
18,Montana
19,Nevada
20,Ohio
21,Oklahoma
22,Oregon
23,Rhode Island
24,Tennessee
25,Vermont
26,Virginia
27,West Virginia
28,Wisconsin
29,Wyoming
